-300	-300	-500
-300	-240	-500
-300	-180	-500
-300	-120	-500
-300	-60	-500
-300	0	-500
-300	60	-500
-300	120	-500
-300	180	-500
-300	240	-500
#

-240	-300	-500
-240	-240	-500
-240	-180	-500
-240	-120	-500
-240	-60	-500
-240	0	-500
-240	60	-500
-240	120	-500
-240	180	-500
-240	240	-500
#

-180	-300	-500
-180	-240	-500
-180	-180	-500
-180	-120	-500
-180	-60	-500
-180	0	-500
-180	60	-500
-180	120	-500
-180	180	-500
-180	240	-500
#

-120	-300	-500
-120	-240	-500
-120	-180	-500
-120	-120	-500
-120	-60	-500
-120	0	-500
-120	60	-500
-120	120	-500
-120	180	-500
-120	240	-500
#

-60	-300	-500
-60	-240	-500
-60	-180	-500
-60	-120	-500
-60	-60	-500
-60	0	-500
-60	60	-500
-60	120	-500
-60	180	-500
-60	240	-500
#

0	-300	-500
0	-240	-500
0	-180	-500
0	-120	-500
0	-60	-500
0	0	-500
0	60	-500
0	120	-500
0	180	-500
0	240	-500
#

60	-300	-500
60	-240	-500
60	-180	-500
60	-120	-500
60	-60	-500
60	0	-500
60	60	-500
60	120	-500
60	180	-500
60	240	-500
#

120	-300	-500
120	-240	-500
120	-180	-500
120	-120	-500
120	-60	-500
120	0	-500
120	60	-500
120	120	-500
120	180	-500
120	240	-500
#

180	-300	-500
180	-240	-500
180	-180	-500
180	-120	-500
180	-60	-500
180	0	-500
180	60	-500
180	120	-500
180	180	-500
180	240	-500
#

240	-300	-500
240	-240	-500
240	-180	-500
240	-120	-500
240	-60	-500
240	0	-500
240	60	-500
240	120	-500
240	180	-500
240	240	-500
#

