180.718	-15	-70.8579
180.718	0	-70.8579
171.076	0	-82.3486
171.076	-15	-82.3486
#

180.718	-15	-70.8579
190.669	-7.5	-79.208
181.027	-7.5	-90.6986
171.076	-15	-82.3486
#

180.718	-15	-70.8579
190.669	-22.5	-79.208
181.027	-22.5	-90.6986
171.076	-15	-82.3486
#

180.718	-15	-70.8579
180.718	-30	-70.8579
171.076	-30	-82.3486
171.076	-15	-82.3486
#

180.718	-15	-70.8579
170.766	-22.5	-62.5078
161.125	-22.5	-73.9985
171.076	-15	-82.3486
#

180.718	-15	-70.8579
170.766	-7.5	-62.5078
161.125	-7.5	-73.9985
171.076	-15	-82.3486
#

180.718	-15	-70.8579
180.718	0	-70.8579
171.076	0	-82.3486
171.076	-15	-82.3486
#

