-300	-300	110
-300	-240	90
-300	-180	110
-300	-120	90
-300	-60	110
-300	0	90
-300	60	110
-300	120	90
-300	180	110
-300	240	90
#

-240	-300	110
-240	-240	90
-240	-180	110
-240	-120	90
-240	-60	110
-240	0	90
-240	60	110
-240	120	90
-240	180	110
-240	240	90
#

-180	-300	110
-180	-240	90
-180	-180	110
-180	-120	90
-180	-60	110
-180	0	90
-180	60	110
-180	120	90
-180	180	110
-180	240	90
#

-120	-300	110
-120	-240	90
-120	-180	110
-120	-120	90
-120	-60	110
-120	0	90
-120	60	110
-120	120	90
-120	180	110
-120	240	90
#

-60	-300	110
-60	-240	90
-60	-180	110
-60	-120	90
-60	-60	110
-60	0	90
-60	60	110
-60	120	90
-60	180	110
-60	240	90
#

0	-300	110
0	-240	90
0	-180	110
0	-120	90
0	-60	110
0	0	90
0	60	110
0	120	90
0	180	110
0	240	90
#

60	-300	110
60	-240	90
60	-180	110
60	-120	90
60	-60	110
60	0	90
60	60	110
60	120	90
60	180	110
60	240	90
#

120	-300	110
120	-240	90
120	-180	110
120	-120	90
120	-60	110
120	0	90
120	60	110
120	120	90
120	180	110
120	240	90
#

180	-300	110
180	-240	90
180	-180	110
180	-120	90
180	-60	110
180	0	90
180	60	110
180	120	90
180	180	110
180	240	90
#

240	-300	110
240	-240	90
240	-180	110
240	-120	90
240	-60	110
240	0	90
240	60	110
240	120	90
240	180	110
240	240	90
#

